id;nature;couleur;nb_places;date_realisation;observations;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_actif;meta_resolution_spatiale;meta_licence;meta_observations;meta_genealogie;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
590;;;;;;84007;;20190424195251;20190424195251;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845923.6303712574;6316677.018487766;4.817411777885264;43.93398247884409;43.93398247884409;4.817411777885264
592;;;;;;84007;;20190424195251;20190424195251;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845917.612466773;6316676.305841181;4.8173366498751315;43.93397731341962;43.93397731341962;4.8173366498751315
593;;;;;;84007;;20190424195251;20190424195251;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845658.0507443796;6317096.608959691;4.814225316480045;43.93781257329585;43.93781257329585;4.814225316480045
591;;;;;;84007;;20190424195251;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845897.3416306128;6316673.376071894;4.817083435538692;43.93395515172812;43.93395515172812;4.817083435538692
628;;;;;;84007;;20190424203456;20190424203456;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844801.8850569542;6316633.764799286;4.803433530617908;43.933824756063984;43.933824756063984;4.803433530617908
616;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;846819.6646758977;6316611.969691265;4.828548738917251;43.93321107188339;43.93321107188339;4.828548738917251
617;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;846885.3865275105;6316518.810946178;4.829340096824199;43.93235921094907;43.93235921094907;4.829340096824199
618;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;846105.7115734079;6317207.306729035;4.81983089870332;43.938715844741445;43.938715844741445;4.81983089870332
619;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;846155.3790811477;6317039.359684133;4.820401099406494;43.93719449047022;43.93719449047022;4.820401099406494
620;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845832.7877275689;6316713.521829449;4.816291229237056;43.93432971528127;43.93432971528127;4.816291229237056
621;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845905.4578833729;6316398.353877785;4.817105674599253;43.931479048761965;43.931479048761965;4.817105674599253
622;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845576.2943446331;6316419.060220192;4.81301363606184;43.931733434334056;43.931733434334056;4.81301363606184
623;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;846170.4040466215;6316361.45462134;4.820393552140139;43.931092145065776;43.931092145065776;4.820393552140139
624;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845905.6162492803;6316398.3538777875;4.817107646191059;43.931479015967284;43.931479015967284;4.817107646191059
625;;;;;;84007;;20190424202506;20190424202506;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845879.4858745427;6316407.618283376;4.816784987704683;43.93156778002163;43.93156778002163;4.816784987704683
626;;;;;;84007;;20190424203456;20190424203456;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845493.0730602412;6316515.307100477;4.812005060106409;43.93261657507506;43.93261657507506;4.812005060106409
629;;;;;;84007;;20190424203456;20190424203456;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844586.8241545684;6316650.472402528;4.800760730784318;43.934019245502434;43.934019245502434;4.800760730784318
632;;;;;;84007;;20190424204142;20190424204142;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845302.9349925484;6316411.221107772;4.809608162562417;43.931719331665505;43.931719331665505;4.809608162562417
633;;;;;;84007;;20190424204142;20190424204142;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844435.5649171673;6317683.374442725;4.799170584777441;43.9433435505095;43.9433435505095;4.799170584777441
634;;;;;;84007;;20190424204142;20190424204142;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844419.2532286948;6317532.530915832;4.7989246676949655;43.94198971444126;43.94198971444126;4.7989246676949655
635;;;;;;84007;;20190424204142;20190424204142;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844368.2989979562;6317430.939186171;4.798261373722765;43.94108611068342;43.94108611068342;4.798261373722765
