id;projet_millesime;projet_theme;projet_libelle;projet_localisation;projet_secteur;projet_statut;meta_datcreat;meta_datmaj;meta_source;meta_insee;meta_siren;meta_licence;meta_genealogie;meta_actif;projet_cout;projet_numero;porteur_collectif;projet_sous_theme;projet_description;type_sectorisation;secteur_numero;secteur_nom;meta_datsupp;meta_resolution;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
105;2018;aménagement de l'espace public;création de bornes à pédales permettant de rechargéer écologiquement son mobile et autres…;idéalement placé sur des lieux de passage comme les places (l'horloge, pie, St Didier, Corps saint, crillon);tous secteurs;retenu;20181022170643;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;40-01;;;sur l'espace urbain, pour recharger ses appareils électroniques, lieu de rencontre, peut être couplée avec projet "création de table / panneaux digitaux d'information et d'orientation";;;;;;84007-budgetParticipatif2018;844707.0670040038;6318453.190113432;4.802770285170508;43.950214080639;43.950214080639;4.802770285170508
106;2018;aménagement de l'espace public;création de bornes à pédales permettant de rechargéer écologiquement son mobile et autres…;idéalement placé sur des lieux de passage comme les places (l'horloge, pie, St Didier, Corps saint, crillon);tous secteurs;retenu;20181022170643;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;40-02;;;sur l'espace urbain, pour recharger ses appareils électroniques, lieu de rencontre, peut être couplée avec projet "création de table / panneaux digitaux d'information et d'orientation";;;;;;84007-budgetParticipatif2018;844967.0089524024;6318328.870051155;4.805972114510025;43.94904208360905;43.94904208360905;4.805972114510025
96;2018;culture/patrimoine;Restauration de 2 roues à aubes;rue des teinturiers;secteur 1;retenu;20181022170643;20190117160148.666738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;95000;11;;;sur les 5 roues à aubes subsistant dans la rue des teinturiers, trois seulement ont été restaurées , le projet consiste à restaurer les 2 autres;;;;;;84007-budgetParticipatif2018;845527.6601423488;6317929.673487545;4.81283999963902;43.94533479452512;43.94533479452512;4.81283999963902
107;2018;aménagement de l'espace public;création de bornes à pédales permettant de rechargéer écologiquement son mobile et autres…;idéalement placé sur des lieux de passage comme les places (l'horloge, pie, St Didier, Corps saint, crillon);tous secteurs;retenu;20181022170643;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;40-03;;;sur l'espace urbain, pour recharger ses appareils électroniques, lieu de rencontre, peut être couplée avec projet "création de table / panneaux digitaux d'information et d'orientation";;;;;;84007-budgetParticipatif2018;845325.438222865;6318241.684552934;4.8104108990212255;43.94818379035465;43.94818379035465;4.8104108990212255
108;2018;aménagement de l'espace public;création de bornes à pédales permettant de rechargéer écologiquement son mobile et autres…;idéalement placé sur des lieux de passage comme les places (l'horloge, pie, St Didier, Corps saint, crillon);tous secteurs;retenu;20181022170643;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;40-04;;;sur l'espace urbain, pour recharger ses appareils électroniques, lieu de rencontre, peut être couplée avec projet "création de table / panneaux digitaux d'information et d'orientation";;;;;;84007-budgetParticipatif2018;845080.4308274025;6318064.488100531;4.807309238017693;43.94664001243657;43.94664001243657;4.807309238017693
120;2018;environnement;L'oiseau dans la ville;axe de l'île de la Barthelasse à la rocade charles de Gaulle;tous secteurs;retenu;20181022173041;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;25000;43-01;Pschitt;;Offrir aux oiseaux des nichoirs;;;;;;84007-budgetParticipatif2018;847079.2391014236;6317130.473087186;4.831930210636701;43.93782198468874;43.93782198468874;4.831930210636701
123;2018;environnement;L'oiseau dans la ville;axe de l'île de la Barthelasse à la rocade charles de Gaulle;tous secteurs;retenu;20181022173525;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;25000;43-02;Pschitt;;Offrir aux oiseaux des nichoirs;;;;;;84007-budgetParticipatif2018;843748.0265235765;6317385.571396795;4.790525059495495;43.94080476679133;43.94080476679133;4.790525059495495
125;2018;environnement;L'oiseau dans la ville;axe de l'île de la Barthelasse à la rocade charles de Gaulle;tous secteurs;mis au vote;20181022173817;20181226095717.133573;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;25000;43-03;Pschitt;;Offrir aux oiseaux des nichoirs;;;;;;84007-budgetParticipatif2018;844542.3832851419;6318879.026690387;4.800840324761768;43.95407928315378;43.95407928315378;4.800840324761768
128;2018;aménagement de l'espace public;création de bornes à pédales permettant de rechargéer écologiquement son mobile et autres…;idéalement placé sur des lieux de passage comme les places (l'horloge, pie, St Didier, Corps saint, crillon);tous secteurs;retenu;20190117154649.725226;20190117154739.160396;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;;40-05;;;sur l'espace urbain, pour recharger ses appareils électroniques, lieu de rencontre, peut être couplée avec projet "création de table / panneaux digitaux d'information et d'orientation";;;;;;84007-budgetParticipatif2018;845112.0242870145;6317784.3689761115;4.807622800595661;43.944113198554334;43.944113198554334;4.807622800595661
129;2018;;Ruche citadine;;tous secteurs;retenu;20190117155008.672144;20190117155331.176738;Mairie Avignon / Pôle Vivre la Ville;84007;218400075;LO;;t;20000;44-01;;;;;;;;;84007-budgetParticipatif2018;845084.584315457;6318700.988924187;4.807542435212839;43.95236593767824;43.95236593767824;4.807542435212839
